City,Alpha,Gate,Q,Gamma,C1,C2,Gain
bengaluru,10,sev_or_cp_or_er,0.75,0.2,10.990414119520258,10.75859630549425,2.109272785401901
chennai,10,all_soft,0.55,0.5,24.258798447308052,23.415840332111017,3.4748551830710173
delhi,10,severity,0.55,0.5,27.905990936898867,26.229192539302286,6.0087398486875605
gurugram,300,all_soft,0.55,0.5,36.930898917700475,36.17808940982269,2.0384272518126383
hyderabad,30,severity,0.85,0.5,8.941211991657312,8.734407398001846,2.3129369245291045
jaipur,10,all_soft,0.55,0.5,24.487901257421914,22.509132902434366,8.080595940772232
lucknow,10,severity,0.55,0.5,24.51602883457733,23.846046724976315,2.7328329319635762
