City,Seed,C1_RMSE,C2_RMSE,C3_RMSE,C2_to_C3_pct,C1_to_C3_pct,C1_MAE,C2_MAE,C3_MAE
bengaluru,11,11.143571247107658,10.931695557177113,10.77227200223551,1.458360728285505,3.3319591775259623,8.388407534246573,8.313307056001834,8.305683989761066
bengaluru,22,11.081489824302619,10.800559829970458,10.62741447578909,1.6031146246781371,4.0976019985841985,8.371421232876711,8.201802738498737,8.186243537679344
bengaluru,33,11.022024625733076,10.745604541714203,10.605965351973003,1.2995005464711007,3.7747989855575272,8.379851598173516,8.230341559095443,8.229530528140538
bengaluru,44,10.72192252340891,10.38076198174902,10.235085214882918,1.403334043514565,4.5405784966557245,8.073390410958906,7.859262654549307,7.850132692181896
bengaluru,55,10.711126805473006,10.432258560733493,10.261210047616112,1.6396115196108985,4.200461501650809,8.067488584474885,7.935918264646944,7.9113277122402055
bengaluru,66,10.856940077339537,10.635000049047534,10.474722943013917,1.5070719820821317,3.5204867264891546,8.18896689497717,8.095500150456177,8.027520309953369
bengaluru,77,11.036993017732591,10.795835092475592,10.614398395283535,1.680617531093201,3.828892722592957,8.317922374429225,8.225083679132611,8.189207436499915
hyderabad,11,9.009922256607453,8.81509151253392,8.72844275648923,0.9829592344161932,3.1241057592011905,6.407391552511417,6.396266002761397,6.295758138290802
hyderabad,22,8.82923199188868,8.613915794460219,8.53758641393231,0.8861170964429209,3.303181728878587,6.35214611872146,6.309237002317237,6.2485646659917755
hyderabad,33,8.994451055022893,8.791804498941497,8.708405340425404,0.9486011492422707,3.1802464969526745,6.368378995433791,6.3411589974947065,6.2822627933353
hyderabad,44,9.017399039923067,8.814920617563924,8.736333579206567,0.8915229276230874,3.1169238432515622,6.383847031963471,6.34902625988742,6.278035207833189
hyderabad,55,9.089748007921209,8.88237793612062,8.798425100537543,0.945161714428726,3.204961316087029,6.419160958904109,6.384485840070499,6.326714568330806
hyderabad,66,8.928624621185866,8.755423055011025,8.68548300840379,0.7988197277024452,2.723169839676651,6.35841894977169,6.3570987786557405,6.291071505639304
hyderabad,77,8.942090172752085,8.737001240029048,8.653830159481869,0.9519408119816539,3.223631250650866,6.348270547945206,6.3159201175068205,6.2382247678429685
chennai,11,24.52483609231329,23.701595583171727,23.049056904239972,2.7531424061385192,6.017488486032593,15.899657534246574,15.545904203354917,15.418737939785833
chennai,22,24.437918298290064,23.59359480228887,23.019645630412867,2.4326482534163127,5.8035739810801905,15.510702054794521,15.127894862736941,15.085757467872286
chennai,33,24.327936362970576,23.55990875410409,23.011139212534218,2.3292515573697927,5.412695638421053,15.620182648401826,15.2612508099079,15.20418067943607
chennai,44,24.338813097355704,23.541684878760705,22.938751622485793,2.56113043471616,5.75238188185118,15.458264840182649,15.084035050065012,15.018225567715774
chennai,55,24.271668465309453,23.47691266550554,22.836775646060584,2.7266661019934944,5.911801330426483,15.54751712328767,15.18679580927859,15.079403826287766
chennai,66,24.06681908646902,23.23902489752973,22.584196977195333,2.8177943060081025,6.160440662917751,15.541746575342467,15.188177844459204,15.04738169699106
chennai,77,24.294371753435424,23.539921695808385,23.000361969323283,2.292105018264263,5.326376813712656,15.582106164383562,15.203349520031436,15.184032802133027
delhi,11,27.505288412606653,25.948068436919822,25.1962457332588,2.897412982737874,8.39490444422876,18.843464611872147,18.272661420195924,17.98950045744487
delhi,22,27.872290979823426,26.0729290619841,25.350640660367826,2.7702618294214405,9.047158417228802,19.09550799086758,18.39766238694487,18.15577640208464
delhi,33,27.4469707064515,25.86543459353141,25.087682669202454,3.0069161278405963,8.59580484302585,18.70675799086758,18.228706944049822,17.917224173735967
delhi,44,27.58876388894573,25.899705012933733,25.18086154412624,2.7754890198499083,8.727837008254976,18.87232305936073,18.209168399489656,17.985020534588237
delhi,55,26.808029028641666,25.316626939040138,24.588671362705036,2.8754050770189292,8.278705098257957,18.56965753424657,18.1202202536824,17.768927298799344
delhi,66,27.37974044475592,25.896540381605064,25.264810112730462,2.439438857722227,7.724435285618401,18.789845890410962,18.28677067408927,18.054811422635172
delhi,77,27.17237692678039,25.665657410371733,25.015236707952145,2.5342062820364255,7.938724774210771,19.07986301369863,18.400426115866907,18.199710223540443
jaipur,11,24.152863995226298,22.329238215588376,21.837262096355044,2.203282147305303,9.587276686230345,14.416672374429224,12.684941202227156,13.160196313460698
jaipur,22,24.458129574112554,22.61739901562432,22.058089322591243,2.4729178304132082,9.812852795013434,14.482933789954338,12.790643233951334,13.124486757792512
jaipur,33,24.911983327813292,23.037465584710866,22.460911624575772,2.502679637284979,9.838926395318316,14.740405251141555,12.969494030888027,13.341659023416128
jaipur,44,24.433517953301287,22.64104168330071,22.09771531753719,2.3997410250088413,9.559829412319642,14.649240867579906,12.999640207891142,13.312279612208748
jaipur,55,24.392297480593218,22.488320220990488,22.05628860517393,1.9211377798387215,9.57683005169088,14.866649543378996,12.899253904183949,13.435369100265055
jaipur,66,24.80154487500394,22.930821353453002,22.492609811849015,1.9110154618949136,9.309642100085346,14.76479452054795,12.903937640844214,13.449809843405266
jaipur,77,24.753091445825117,22.897633285356385,22.309723092964216,2.567558773718995,9.870962413759441,14.921358447488585,13.168330292931438,13.386123517550622
lucknow,11,23.549257671158834,23.05562477032607,22.957141604667672,0.42715461688616074,2.5143725324995536,17.38090182648402,17.187669915081937,17.081922378007395
lucknow,22,24.393484872037867,23.765161668089668,23.611891549558237,0.6449361492761574,3.2041068612364043,17.784457762557075,17.480579108302322,17.369664074767016
lucknow,33,24.59490589483984,23.82298439550603,23.717299880002496,0.44362416458397064,3.568243028006344,17.992773972602738,17.67124687062826,17.572207165114342
lucknow,44,24.474051805328063,23.838743001977697,23.711087136009773,0.5354974713110224,3.1174432226714113,17.72566780821918,17.479764827618,17.34355053579669
lucknow,55,23.67132797169983,23.157740065733403,23.073029620511026,0.36579754752374927,2.5275233899175373,17.28450342465754,17.039703431496662,16.990910975214213
lucknow,66,24.82771362885313,24.13144218967625,23.97947974648242,0.6297279789553675,3.4164800474617563,18.07221461187215,17.761215564162868,17.6396475840542
lucknow,77,24.934455233255143,24.364440661185434,24.35104179270241,0.054993540255444305,2.339788197075316,18.007562785388128,17.7458398357665,17.77339843703843
