City,Seed,Transition_days,Transition_RMSE_C1,Transition_RMSE_C3,Transition_RMSE_gain_pct,Transition_MAE_C1,Transition_MAE_C3,Transition_MAE_gain_pct,Boundary20_days,Boundary20_RMSE_C1,Boundary20_RMSE_C3,Boundary20_RMSE_gain_pct,Boundary20_MAE_C1,Boundary20_MAE_C3,Boundary20_MAE_gain_pct
bengaluru,11,49,16.669556533579975,14.709754538104523,11.756773442218035,13.069005102040819,11.83904085421853,9.411307427144717,270,9.486754035069826,9.429675337528915,0.6016673071727939,7.328364197530864,7.4463150620645635,-1.6095115001713522
bengaluru,22,49,15.925883835853181,13.977990194204217,12.230992400332369,12.705144557823132,11.409285869465855,10.199480080369169,270,9.499304299913545,9.38375547625352,1.2163924853010297,7.273533950617281,7.374023535824051,-1.38157855437303
bengaluru,33,49,15.944528901094392,13.955689183270184,12.473493134611827,12.382482993197275,11.047989092763197,10.777272225346287,270,9.362729359076427,9.232883930860806,1.3868330829166373,7.2585262345679,7.316720653696408,-0.8017387724158651
bengaluru,44,49,15.988689825242282,14.033411907215815,12.22913158862808,12.550382653061224,11.150647837461836,11.15292540708288,270,9.09813933124606,8.983720770567288,1.257603961788317,6.947199074074076,6.982350182976186,-0.5059752646687246
bengaluru,55,49,16.10816362458596,14.214682225691748,11.75479367495487,12.783971088435376,11.421072348317558,10.66099673325076,270,9.158315249044142,9.069159942959113,0.9734902507787596,7.036358024691357,7.141571241649805,-1.4952794697092282
bengaluru,66,49,15.731479967972172,13.744726565702557,12.629157627346315,12.476360544217687,11.166638295871136,10.497630648815749,270,9.021660757928506,9.01489980120683,0.07494137612893778,6.9463040123456805,7.0574541061355145,-1.600132870549384
bengaluru,77,49,16.146349722925,14.11443096484146,12.584384662488564,12.527806122448983,11.322230872865216,9.623195296927985,270,9.246016949318411,9.152103804854104,1.0157146042354028,7.105594135802469,7.232957016478585,-1.7924311217605462
chennai,11,107,35.081617232995015,32.76513741016245,6.6031158354178245,23.307476635514014,22.792366095279686,2.2100656724436885,237,21.773022587335845,20.780025023341622,4.56067851861686,14.099024261603375,14.010315485550086,0.6291837960366873
chennai,22,107,36.320462096570644,33.779473096721844,6.99602607778693,23.840712616822433,23.26184331670577,2.4280704583813524,237,21.792901893811518,20.860816922201412,4.277011735985413,13.953023909985935,13.92045394245253,0.23342587057487418
chennai,33,107,35.63266799114524,33.5717153515853,5.783885282101504,23.458528037383182,23.191125168003754,1.1398961987440057,237,21.5100290441095,20.63423699622035,4.0715521401352435,13.818020393811532,13.78297007170793,0.2536566100256891
chennai,44,107,35.89917930434889,33.666643547693624,6.218904721269808,23.47026869158878,23.0315581652606,1.8692181674315778,237,21.689552408893466,20.807966133103097,4.064566475004288,13.738343881856537,13.768583083312494,-0.2201080546243483
chennai,55,107,36.01929256523041,33.67430706178803,6.510359689035109,23.771378504672896,23.312105522529063,1.9320418546764166,237,21.61428703768923,20.64986144770099,4.461981967328161,14.020552039381155,13.96134503122218,0.4222872822173693
chennai,66,107,35.42724219739855,33.104656144310816,6.555932409715713,23.660552959501555,23.169305810594807,2.0762285215716982,237,21.44829047595318,20.450116156723805,4.653864233834769,13.897776019690577,13.803374698306033,0.6792548768291716
chennai,77,107,35.74896146743922,33.51308279931816,6.254387753774435,23.541919781931462,23.12106593203945,1.7876785486926152,237,21.45715888656848,20.61859017468181,3.9081069228209304,13.785645218002815,13.73716138064785,0.3516979915575474
delhi,11,129,28.54407859275563,27.578098557237624,3.3841696181538907,20.55852713178295,19.80118575158973,3.6838309249420282,160,25.732365672311065,25.69991550374769,0.1261064333400683,17.97180989583333,17.93054126213711,0.22962981433378643
