City,C1_RMSE_mean,C1_RMSE_sd,C2_RMSE_mean,C2_RMSE_sd,Gain_mean_pct,Gain_median_pct,Gain_sd_pct,Seed_wins,C1_MAE_mean,C2_MAE_mean,Gate,Q,Gamma,Alpha
bengaluru,10.9391525887282,0.17532396524069566,10.674530801838202,0.20344609180737563,2.4227139669004045,2.507888463372858,0.42828299793513885,7,8.255349804305284,8.123030871768721,sev_or_cp_or_er,0.75,0.2,10.0
chennai,24.323194736591933,0.1433534926477046,23.521806182452718,0.1423807441761674,3.2947544900323735,3.275131845610033,0.13297985427737524,7,15.594310991519896,15.228201157119143,all_soft,0.55,0.5,10.0
delhi,27.396208626857902,0.335294446441157,25.809280262340856,0.2486804979515259,5.789591656345967,5.661529347836621,0.3699827833216628,7,18.851060013046315,18.273659456331266,severity,0.55,0.5,10.0
gurugram,37.2502194482799,0.50721052208677,36.50328598669262,0.4170286432014312,2.0022999642875416,1.8370499314588375,0.3624058240061081,7,28.883343962585034,28.185515265935585,all_soft,0.55,0.5,300.0
hyderabad,8.973066735043036,0.08268270026731854,8.772933522094322,0.08441839148591272,2.230606372834307,2.253017497585145,0.1526117168751819,7,6.376802022178735,6.350456142670545,severity,0.85,0.5,30.0
jaipur,24.55763266455367,0.2707213879668783,22.705988479860594,0.2577275808766064,7.540197311170935,7.526047946186929,0.1382180647910163,7,14.691722113502935,12.916605787559607,all_soft,0.55,0.5,10.0
lucknow,24.34931386816753,0.5398823353992285,23.733733821784938,0.4774138767351655,2.523781400639072,2.575782866795056,0.37178568801347917,7,17.749726027397262,17.480859936150935,severity,0.55,0.5,10.0
