Comparison,Cities_positive,Mean_city_RMSE_gain_pct,Median_city_RMSE_gain_pct,Wilcoxon_greater_stat,Wilcoxon_greater_p
C1_vs_C2,7,3.687580524106071,2.5317529171170077,28.0,0.0078125
C2_vs_C3,7,1.5970701510821095,1.513115172923886,28.0,0.0078125
C1_vs_C3,7,5.213419375404476,3.891165825111492,28.0,0.0078125
