si,qi,bi,bj,Signal,Group,Q,Threshold,BetaLow,BetaHigh,Score,MeanGain23,SDGain23,MinSeedGain23,Top25Gain23,GT200Gain23,GT300Gain23,SeedWins,City,AFSASeed,SafeguardUsed
0,7,7,0,AQI_t,state,0.95,140.0,1.8,0.4,2.810332276447988,1.513087282247934,0.1269847774681426,1.2995005464711007,3.9678210940975007,0.0,0.0,7,bengaluru,101.0,False
5,3,1,7,rb30,history,0.75,1.7993879797992316,0.6,1.8,1.3754362750343234,0.9150175231196138,0.0572027670996212,0.7988197277024452,1.4657718156129154,0.0,0.0,7,hyderabad,101.0,False
4,3,0,7,LER_edge_absmean30,erdm,0.75,0.2404620569272114,0.4,1.8,4.644159175366697,2.558962582558092,0.1973988925371527,2.292105018264263,3.7307384200248497,6.040917280456563,0.0,7,chennai,101.0,False
0,7,1,7,AQI_t,state,0.95,455.0,0.6,1.8,6.852551255732655,2.7570185966610574,0.187918476375339,2.439438857722227,6.330321873921309,4.912367033609256,6.305120931727097,7,delhi,101.0,False
5,1,7,2,rb30,history,0.6,87.55563689966668,1.8,0.8,4.853010860984749,2.282618950780709,0.2548391006624427,1.9110154618949136,4.859248624335696,6.78049628011845,0.0,7,jaipur,101.0,False
5,1,0,5,rb30,history,0.6,36.03067914982868,0.4,1.4,1.1644331084540247,0.443104495541696,0.1855347289370637,0.0549935402554443,1.305328079408989,0.8983288189104316,1.2124091337557474,7,lucknow,,True
5,2,0,7,rb30,history,0.7,98.11233080808807,0.4,1.8,1.9131380255376755,0.7073649488889895,0.3406537698500581,0.3751130812709068,2.225390459277909,1.4725748189281969,2.0216353899360877,7,gurugram,101.0,False
